"precinct","votes_2016","clinton","trump","tot_reg","asian","black","caucasian","hispanic","unknown","pct_latino","pct_clinton","pct_trump","wt","reg_2012","votes_2012","obama","romney","pct_obama","pct_romney","wt_2012"
"08031101",951,723,163,1611,40,8,462,1085,16,0.673494724,0.760252365930599,0.171398527865405,0.00286557989574231,1660,870,697,115,0.801149425287356,0.132183908045977,0.00283494740683776
"08031102",985,757,166,1639,127,60,407,1006,39,0.613788896,0.768527918781726,0.168527918781726,0.00296802965016422,1698,913,749,97,0.820372398685652,0.106243154435926,0.00297506549706078
"08031103",1003,678,241,1465,26,2,697,735,5,0.501706485,0.675972083748754,0.240279162512463,0.00302226775544641,1491,963,717,194,0.744548286604361,0.201453790238837,0.00313799350894801
"08031104",763,543,155,1315,56,32,461,745,21,0.566539924,0.711664482306684,0.203145478374836,0.00229909301835056,1356,750,571,131,0.761333333333333,0.174666666666667,0.00244392017830842
"08031105",1128,722,315,1523,56,7,791,660,9,0.43335522,0.640070921985816,0.279255319148936,0.0033989212643505,1568,1062,735,264,0.692090395480226,0.248587570621469,0.00346059097248472
"08031106",1126,815,227,1623,40,22,680,860,21,0.529882933,0.723801065719361,0.201598579040853,0.00339289480820803,1658,1035,790,194,0.763285024154589,0.18743961352657,0.00337260984606561
"08031107",1224,806,330,1743,77,12,797,799,58,0.458405049,0.658496732026144,0.269607843137255,0.00368819115918884,1793,1156,800,299,0.692041522491349,0.258650519031142,0.00376689563483271
"08031108",1258,853,281,1758,47,11,896,799,5,0.454493743,0.678060413354531,0.223370429252782,0.00379064091361075,1788,1227,890,272,0.725346373268134,0.221678891605542,0.00399825341171257
"08031109",670,468,163,1122,75,24,376,638,9,0.568627451,0.698507462686567,0.243283582089552,0.00201886280772592,1119,644,472,132,0.732919254658385,0.204968944099379,0.00209851279310749
"08031110",1124,700,347,1411,42,1,902,446,20,0.316087881,0.622775800711744,0.308718861209964,0.00338686835206557,1484,1066,676,341,0.634146341463415,0.319887429643527,0.0034736252134357
"08031111",1184,787,294,1606,27,5,959,613,2,0.381693649,0.664695945945946,0.248310810810811,0.00356766203633953,1655,1113,794,251,0.713387241689128,0.225516621743037,0.00362677754460969
"08031112",900,491,323,1171,30,2,889,243,7,0.207514944,0.545555555555556,0.358888888888889,0.00271190526410944,1305,932,534,365,0.572961373390558,0.391630901287554,0.00303697814157793
"08031113",856,510,280,1058,22,4,733,292,7,0.275992439,0.595794392523365,0.327102803738318,0.0025793232289752,1111,880,543,299,0.617045454545455,0.339772727272727,0.00286753300921521
"08031114",976,577,320,1315,21,5,851,432,6,0.32851711,0.591188524590164,0.327868852459016,0.00294091059752313,1291,940,558,347,0.593617021276596,0.369148936170213,0.00306304662347988
"08031115",375,212,133,470,8,1,339,121,1,0.257446809,0.565333333333333,0.354666666666667,0.00112996052671227,466,389,214,158,0.55012853470437,0.406169665809769,0.00126757993248263
"08031116",1020,587,353,1236,28,1,798,404,5,0.326860841,0.575490196078431,0.346078431372549,0.00307349263265737,1299,1000,611,344,0.611,0.344,0.00325856023774456
"08031117",887,537,283,1139,35,6,698,382,18,0.335381914,0.605411499436302,0.319052987598647,0.00267273329918342,1223,942,593,323,0.629511677282378,0.342887473460722,0.00306956374395537
"08031118",887,599,234,1566,47,41,776,661,41,0.422094508,0.675310033821871,0.263810597519729,0.00267273329918342,1856,1006,710,249,0.705765407554672,0.247514910536779,0.00327811159917102
"08031119",893,644,191,1555,74,59,630,779,13,0.50096463,0.721164613661814,0.213885778275476,0.00269081266761081,1635,894,663,163,0.741610738255034,0.182326621923937,0.00291315285254363
"08031120",1122,634,388,1833,20,11,1382,405,15,0.220949264,0.5650623885918,0.345811051693405,0.0033808418959231,2218,1226,768,385,0.626427406199021,0.314029363784666,0.00399499485147482
"08031121",982,617,293,1267,88,2,735,436,6,0.344119968,0.628309572301426,0.29837067209776,0.00295898996595052,1277,945,601,303,0.635978835978836,0.320634920634921,0.0030793394246686
"08031122",1031,583,380,1290,63,19,917,278,13,0.215503876,0.565470417070805,0.368574199806014,0.00310663814144093,1356,983,547,414,0.55645981688708,0.421159715157681,0.0032031647137029
"08031123",1071,525,498,1319,38,14,1089,165,13,0.125094769,0.490196078431373,0.464985994397759,0.00322716726429023,1454,1066,446,598,0.418386491557223,0.560975609756098,0.0034736252134357
"08031124",971,449,431,1208,36,2,948,219,3,0.181291391,0.462409886714727,0.443872296601442,0.00292584445716696,1307,908,458,413,0.504405286343612,0.454845814977974,0.00295877269587206
"08031125",1023,503,426,1342,26,3,1106,196,11,0.146050671,0.49169110459433,0.416422287390029,0.00308253231687106,1539,985,532,419,0.54010152284264,0.425380710659898,0.00320968183417839
"08031126",1125,578,436,1647,32,1,1356,242,16,0.146933819,0.513777777777778,0.387555555555556,0.0033898815801368,1786,1056,585,436,0.553977272727273,0.412878787878788,0.00344103961105825
"08031127",1255,649,503,1614,9,2,1415,185,3,0.114622057,0.517131474103586,0.400796812749004,0.00378160122939705,1597,1018,543,442,0.533398821218075,0.434184675834971,0.00331721432202396
"08031128",828,394,369,992,63,1,836,89,3,0.089717742,0.475845410628019,0.445652173913043,0.00249495284298069,1095,783,364,407,0.464878671775224,0.519795657726692,0.00255145266615399
"08031129",717,353,322,864,20,3,642,195,4,0.225694444,0.492329149232915,0.449093444909344,0.00216048452707385,936,748,375,345,0.501336898395722,0.461229946524064,0.00243740305783293
"08031130",928,479,344,1246,36,2,924,277,7,0.222311396,0.516163793103448,0.370689655172414,0.00279627565010396,1378,931,522,374,0.560687432867884,0.40171858216971,0.00303371958134018
"08031131",974,500,385,1242,25,10,980,221,6,0.177938808,0.513347022587269,0.395277207392197,0.00293488414138066,1241,896,473,387,0.527901785714286,0.431919642857143,0.00291966997301912
"08031132",1102,487,527,1414,36,3,1238,134,3,0.09476662,0.441923774954628,0.478221415607985,0.00332057733449845,1727,1078,452,597,0.419294990723562,0.553803339517625,0.00351272793628863
"08031201",1286,1002,162,1857,37,64,1618,116,22,0.062466344,0.779160186625194,0.12597200622084,0.00387501129960527,2000,1038,693,309,0.667630057803468,0.297687861271676,0.00338238552677885
"08031202",1100,865,144,1839,30,88,1506,188,27,0.102229473,0.786363636363636,0.130909090909091,0.00331455087835598,2333,1094,801,231,0.73217550274223,0.211151736745887,0.00356486490009254
"08031203",841,677,114,1354,15,70,1183,77,9,0.056868538,0.80499405469679,0.135552913198573,0.00253412480790671,1451,758,579,152,0.763852242744063,0.200527704485488,0.00246998866021037
"08031204",1262,1051,85,1978,25,83,1655,188,27,0.095045501,0.832805071315372,0.0673534072900158,0.00380269382589568,2524,1183,950,154,0.803043110735418,0.130177514792899,0.00385487676125181
"08031205",1088,892,81,1678,26,51,1487,107,7,0.063766389,0.819852941176471,0.0744485294117647,0.00327839214150119,2136,1050,884,120,0.841904761904762,0.114285714285714,0.00342148824963178
"08031206",1437,1162,161,2180,30,84,1833,200,33,0.091743119,0.808629088378567,0.112038970076548,0.00433000873836141,2677,1232,968,203,0.785714285714286,0.164772727272727,0.00401454621290129
"08031207",1137,897,148,1640,13,47,1419,142,19,0.086585366,0.788918205804749,0.130167106420405,0.00342604031699159,1967,1103,866,190,0.785131459655485,0.172257479601088,0.00359419194223224
"08031208",1177,986,88,1710,24,50,1481,146,9,0.085380117,0.837723024638912,0.0747663551401869,0.0035465694398409,2228,1149,959,125,0.834638816362054,0.108790252393386,0.00374408571316849
"08031209",988,805,113,1322,15,45,1160,92,10,0.069591528,0.814777327935223,0.114372469635628,0.00297706933437792,1658,990,757,185,0.764646464646465,0.186868686868687,0.00322597463536711
"08031210",1131,903,129,1476,22,46,1306,92,10,0.062330623,0.79840848806366,0.114058355437666,0.0034079609485642,1860,1097,907,157,0.826800364630811,0.143117593436645,0.00357464058080578
"08031211",972,796,91,1338,12,26,1219,75,6,0.056053812,0.818930041152263,0.0936213991769547,0.0029288576852382,1641,905,748,116,0.826519337016575,0.12817679558011,0.00294899701515882
"08031212",1107,876,150,1468,16,26,1334,84,8,0.057220708,0.791327913279133,0.13550135501355,0.00333564347485461,1583,1028,814,190,0.791828793774319,0.184824902723735,0.0033497999244014
"08031213",837,689,84,1129,8,30,774,300,17,0.265721878,0.823178016726404,0.100358422939068,0.00252207189562178,1264,791,678,72,0.857142857142857,0.0910240202275601,0.00257752114805594
"08031214",879,710,95,1205,13,31,998,150,13,0.124481328,0.80773606370876,0.108077360637088,0.00264862747461355,1373,867,696,126,0.802768166089965,0.145328719723183,0.00282517172612453
"08031215",1370,1096,183,1842,24,39,1634,134,11,0.072747014,0.8,0.133576642335766,0.00412812245758881,1894,1133,880,213,0.776699029126214,0.187996469549868,0.00369194874936458
"08031216",1017,840,107,1300,21,39,1145,91,4,0.07,0.825958702064897,0.105211406096362,0.00306445294844367,1488,878,691,150,0.787015945330296,0.170842824601367,0.00286101588873972
"08031217",1088,856,149,1369,12,20,1277,51,9,0.03725347,0.786764705882353,0.136948529411765,0.00327839214150119,1573,1047,786,233,0.750716332378224,0.222540592168099,0.00341171256891855
"08031218",1667,1336,183,2266,24,37,2047,144,14,0.063548102,0.801439712057588,0.109778044391122,0.00502305119474493,2628,1571,1266,252,0.805856142584341,0.160407383831954,0.0051191981334967
"08031219",1582,1144,287,2131,14,24,2013,74,6,0.034725481,0.723135271807838,0.18141592920354,0.00476692680869015,2620,1541,1059,437,0.687216093445814,0.283582089552239,0.00502144132636436
"08031220",1456,1182,128,1861,28,45,1514,238,36,0.127888232,0.811813186813187,0.0879120879120879,0.00438726007171483,1324,841,723,86,0.859690844233056,0.102259215219976,0.00274044915994317
"08031221",1510,1182,185,1925,18,19,1780,101,7,0.052467532,0.782781456953642,0.122516556291391,0.00454997438756139,2254,1368,1049,273,0.766812865497076,0.199561403508772,0.00445771040523455
"08031222",887,716,96,1157,5,8,1058,79,7,0.068280035,0.807215332581736,0.108229988726043,0.00267273329918342,1296,859,657,178,0.764842840512224,0.207217694994179,0.00279910324422257
"08031223",752,568,116,946,5,NA,915,25,1,0.026427061,0.75531914893617,0.154255319148936,0.002265947509567,1071,741,520,197,0.701754385964912,0.265856950067476,0.00241459313616872
"08031224",1097,841,167,1375,6,20,1265,74,10,0.053818182,0.766636280765725,0.152233363719234,0.00330551119414228,1178,789,588,172,0.745247148288973,0.217997465145754,0.00257100402758045
"08031225",758,562,128,933,11,NA,895,25,2,0.026795284,0.741424802110818,0.168865435356201,0.0022840268779944,1103,738,496,229,0.672086720867209,0.31029810298103,0.00240481745545548
"08031226",786,602,121,965,8,5,929,22,1,0.022797927,0.765903307888041,0.153944020356234,0.00236839726398891,1065,734,507,209,0.690735694822888,0.284741144414169,0.0023917832145045
"08031227",832,603,162,1040,8,3,989,38,2,0.036538462,0.724759615384615,0.194711538461538,0.00250700575526562,1217,785,545,223,0.694267515923567,0.284076433121019,0.00255796978662948
"08031228",553,390,134,658,4,NA,630,19,5,0.02887538,0.705244122965642,0.242314647377939,0.00166631512339169,751,572,363,197,0.634615384615385,0.344405594405594,0.00186389645598989
"08031229",679,459,167,814,5,NA,774,34,1,0.041769042,0.6759941089838,0.245949926362297,0.00204598186036701,953,695,406,265,0.584172661870504,0.381294964028777,0.00226469936523247
"08031230",758,502,195,919,19,NA,884,12,4,0.013057671,0.662269129287599,0.257255936675462,0.0022840268779944,983,763,472,272,0.618610747051114,0.3564875491481,0.0024862814613991
"08031231",826,529,221,1014,23,3,962,19,7,0.018737673,0.64043583535109,0.267554479418886,0.00248892638683822,1096,755,474,261,0.627814569536424,0.345695364238411,0.00246021297949714
"08031232",699,521,133,1127,14,37,880,179,17,0.158828749,0.745350500715308,0.190271816881259,0.00210624642179167,1021,631,436,159,0.690966719492868,0.251980982567353,0.00205615151001681
"08031233",1595,1185,264,1961,32,6,1840,81,2,0.041305456,0.74294670846395,0.16551724137931,0.00480609877361618,1937,1330,966,320,0.726315789473684,0.240601503759398,0.00433388511620026
"08031234",1416,1052,258,1735,35,4,1634,55,7,0.031700288,0.742937853107345,0.182203389830508,0.00426673094886552,1915,1367,950,382,0.6949524506218,0.279444038039503,0.00445445184499681
"08031235",1274,920,236,1535,19,4,1473,33,6,0.021498371,0.722135007849294,0.185243328100471,0.00383885256275047,1725,1244,848,361,0.681672025723473,0.290192926045016,0.00405364893575423
"08031236",920,650,170,1172,10,2,1110,49,1,0.041808874,0.706521739130435,0.184782608695652,0.00277216982553409,1322,893,626,230,0.701007838745801,0.257558790593505,0.00290989429230589
"08031237",1669,1289,240,2954,84,27,2663,151,29,0.051117129,0.772318753744757,0.143798681845416,0.0050290776508874,3260,1320,912,357,0.690909090909091,0.270454545454545,0.00430129951382281
"08031238",1512,1088,278,1969,37,12,1841,58,21,0.029456577,0.71957671957672,0.183862433862434,0.00455600084370386,2100,1299,844,414,0.649730561970747,0.318706697459584,0.00423286974883018
"08031239",1075,723,263,1400,24,11,1302,56,7,0.04,0.672558139534884,0.244651162790698,0.00323922017657516,1638,1087,686,365,0.631094756209752,0.335786568537259,0.00354205497842833
"08031240",782,530,164,1112,8,23,856,209,16,0.18794964,0.677749360613811,0.209718670076726,0.00235634435170398,1140,709,500,172,0.705218617771509,0.242595204513399,0.00231031920856089
"08031241",883,644,165,1124,3,2,1051,66,2,0.058718861,0.729331823329558,0.186862967157418,0.00266068038689848,1183,833,592,213,0.710684273709484,0.255702280912365,0.00271438067804121
"08031242",849,572,189,1070,10,4,981,74,1,0.069158879,0.673733804475854,0.222614840989399,0.00255823063247657,1255,834,539,255,0.646282973621103,0.305755395683453,0.00271763923827896
"08031243",997,737,172,1290,20,3,1231,32,4,0.024806202,0.739217652958877,0.172517552657974,0.00300418838701901,1459,941,630,270,0.669500531349628,0.286928799149841,0.00306630518371763
"08031244",980,679,200,1343,43,11,1221,60,8,0.044676098,0.692857142857143,0.204081632653061,0.00295296350980806,1646,946,651,246,0.68816067653277,0.260042283298097,0.00308259798490635
"08031245",1039,695,272,1257,17,9,1197,21,13,0.016706444,0.668912415784408,0.261790182868142,0.00313074396601079,1417,997,600,368,0.601805416248746,0.369107321965898,0.00324878455703132
"08031246",1017,683,263,1238,16,4,1184,27,7,0.02180937,0.671583087512291,0.258603736479843,0.00306445294844367,1381,1005,637,350,0.633830845771144,0.348258706467662,0.00327485303893328
"08031247",666,394,210,858,14,20,766,48,10,0.055944056,0.591591591591592,0.315315315315315,0.00200680989544099,834,546,333,193,0.60989010989011,0.353479853479854,0.00177917388980853
"08031248",874,603,211,1034,12,8,982,28,4,0.027079304,0.689931350114417,0.241418764302059,0.00263356133425739,1050,835,551,263,0.659880239520958,0.31497005988024,0.0027208977985167
"08031249",1177,739,367,1324,4,NA,1306,11,3,0.008308157,0.627867459643161,0.311809685641461,0.0035465694398409,1395,1223,647,552,0.529026982829109,0.451349141455437,0.00398521917076159
"08031250",1096,726,282,1281,10,2,1256,12,1,0.009367681,0.662408759124088,0.257299270072993,0.00330249796607105,1399,1096,628,441,0.572992700729927,0.402372262773723,0.00357138202056803
"08031401",1025,709,237,1354,9,3,1006,330,6,0.243722304,0.691707317073171,0.231219512195122,0.00308855877301353,1411,986,689,244,0.698782961460446,0.247464503042596,0.00321294039441613
"08031402",1305,985,217,1936,38,16,1435,423,24,0.218491736,0.754789272030651,0.166283524904215,0.00393226263295869,2021,1152,867,231,0.752604166666667,0.200520833333333,0.00375386139388173
"08031403",935,716,153,1288,7,9,732,533,7,0.413819876,0.765775401069519,0.163636363636364,0.00281736824660259,1281,860,683,138,0.794186046511628,0.16046511627907,0.00280236180446032
"08031404",1134,875,168,1448,8,1,1229,209,1,0.144337017,0.771604938271605,0.148148148148148,0.0034170006327779,1522,1058,817,204,0.772211720226843,0.192816635160681,0.00344755673153374
"08031405",1119,878,181,1325,7,4,996,314,4,0.236981132,0.784629133154602,0.161751563896336,0.0033718022117094,1454,1023,781,207,0.763440860215054,0.202346041055718,0.00333350712321268
"08031406",885,674,142,1128,14,5,660,442,7,0.391843972,0.761581920903955,0.16045197740113,0.00266670684304095,1198,793,637,131,0.80327868852459,0.165195460277427,0.00258403826853143
"08031407",1225,930,186,1517,10,2,1255,244,6,0.160843771,0.759183673469388,0.151836734693878,0.00369120438726007,1584,1102,848,197,0.76950998185118,0.178765880217786,0.0035909333819945
"08031408",1202,909,201,1516,10,3,1237,259,7,0.170844327,0.756239600665557,0.167221297836938,0.00362190014162172,1575,1095,836,208,0.763470319634703,0.189954337899543,0.00356812346033029
"08031409",1030,835,123,1259,8,1,969,277,4,0.220015886,0.810679611650485,0.119417475728155,0.00310362491336969,1450,1051,832,179,0.79162702188392,0.170313986679353,0.00342474680986953
"08031410",865,706,97,1096,7,13,780,290,6,0.26459854,0.816184971098266,0.112138728323699,0.0026064422816163,1228,844,678,127,0.803317535545024,0.150473933649289,0.0027502248406564
"08031411",887,712,114,1188,9,10,783,377,9,0.317340067,0.802705749718151,0.128523111612176,0.00267273329918342,1289,850,685,117,0.805882352941176,0.137647058823529,0.00276977620208287
"08031412",1262,1006,166,1513,14,4,1275,215,5,0.142101785,0.797147385103011,0.131537242472266,0.00380269382589568,1715,1186,942,205,0.794266441821248,0.172849915682968,0.00386465244196504
"08031413",1270,978,205,1470,15,6,1280,165,4,0.112244898,0.77007874015748,0.161417322834646,0.00382679965046554,1606,1199,876,284,0.730608840700584,0.236864053377815,0.00390701372505572
"08031414",1189,922,179,1443,4,3,1265,170,1,0.117810118,0.775441547518923,0.150546677880572,0.00358272817669569,1584,1123,849,247,0.756010685663402,0.219946571682992,0.00365936314698714
"08031415",1288,1012,173,1632,10,3,1448,166,5,0.101715686,0.785714285714286,0.134316770186335,0.00388103775574773,1790,1259,903,311,0.717235901509134,0.247021445591739,0.00410252733932039
"08031416",1123,901,141,1442,11,3,1243,181,4,0.125520111,0.802315227070347,0.125556544968833,0.00338385512399434,1619,1093,853,200,0.780420860018298,0.182982616651418,0.0035616063398548
"08031417",922,735,112,1105,5,6,848,241,5,0.218099548,0.797180043383948,0.121475054229935,0.00277819628167656,1323,885,711,136,0.803389830508475,0.153672316384181,0.00288382581040393
"08031418",1289,1019,185,1758,13,31,1449,252,13,0.14334471,0.790535298681148,0.143522110162917,0.00388405098381897,1873,1202,922,230,0.767054908485857,0.19134775374376,0.00391678940576896
"08031419",1193,898,208,1413,8,4,1203,189,9,0.133757962,0.752724224643755,0.174350377200335,0.00359478108898062,1544,1139,826,279,0.725197541703248,0.244951712028095,0.00371150011079105
"08031420",1122,874,187,1560,65,18,1038,422,17,0.270512821,0.778966131907308,0.166666666666667,0.0033808418959231,1646,1093,815,221,0.745654162854529,0.202195791399817,0.0035616063398548
"08031421",1267,997,161,1649,16,32,1211,353,37,0.214069133,0.78689818468824,0.12707182320442,0.00381775996625185,1795,1193,933,222,0.782062028499581,0.186085498742666,0.00388746236362925
