"precinct","votes_2016","clinton","trump","tot_reg","asian","black","caucasian","hispanic","unknown","pct_latino","pct_clinton","pct_trump","wt"
"08031101",951,723,163,1611,40,8,462,1085,16,0.673494724,0.760252365930599,0.171398527865405,0.00286557989574231
"08031102",985,757,166,1639,127,60,407,1006,39,0.613788896,0.768527918781726,0.168527918781726,0.00296802965016422
"08031103",1003,678,241,1465,26,2,697,735,5,0.501706485,0.675972083748754,0.240279162512463,0.00302226775544641
"08031104",763,543,155,1315,56,32,461,745,21,0.566539924,0.711664482306684,0.203145478374836,0.00229909301835056
"08031105",1128,722,315,1523,56,7,791,660,9,0.43335522,0.640070921985816,0.279255319148936,0.0033989212643505
"08031106",1126,815,227,1623,40,22,680,860,21,0.529882933,0.723801065719361,0.201598579040853,0.00339289480820803
"08031107",1224,806,330,1743,77,12,797,799,58,0.458405049,0.658496732026144,0.269607843137255,0.00368819115918884
"08031108",1258,853,281,1758,47,11,896,799,5,0.454493743,0.678060413354531,0.223370429252782,0.00379064091361075
"08031109",670,468,163,1122,75,24,376,638,9,0.568627451,0.698507462686567,0.243283582089552,0.00201886280772592
"08031110",1124,700,347,1411,42,1,902,446,20,0.316087881,0.622775800711744,0.308718861209964,0.00338686835206557
"08031111",1184,787,294,1606,27,5,959,613,2,0.381693649,0.664695945945946,0.248310810810811,0.00356766203633953
"08031112",900,491,323,1171,30,2,889,243,7,0.207514944,0.545555555555556,0.358888888888889,0.00271190526410944
"08031113",856,510,280,1058,22,4,733,292,7,0.275992439,0.595794392523365,0.327102803738318,0.0025793232289752
"08031114",976,577,320,1315,21,5,851,432,6,0.32851711,0.591188524590164,0.327868852459016,0.00294091059752313
"08031115",375,212,133,470,8,1,339,121,1,0.257446809,0.565333333333333,0.354666666666667,0.00112996052671227
"08031116",1020,587,353,1236,28,1,798,404,5,0.326860841,0.575490196078431,0.346078431372549,0.00307349263265737
"08031117",887,537,283,1139,35,6,698,382,18,0.335381914,0.605411499436302,0.319052987598647,0.00267273329918342
"08031118",887,599,234,1566,47,41,776,661,41,0.422094508,0.675310033821871,0.263810597519729,0.00267273329918342
"08031119",893,644,191,1555,74,59,630,779,13,0.50096463,0.721164613661814,0.213885778275476,0.00269081266761081
"08031120",1122,634,388,1833,20,11,1382,405,15,0.220949264,0.5650623885918,0.345811051693405,0.0033808418959231
"08031121",982,617,293,1267,88,2,735,436,6,0.344119968,0.628309572301426,0.29837067209776,0.00295898996595052
"08031122",1031,583,380,1290,63,19,917,278,13,0.215503876,0.565470417070805,0.368574199806014,0.00310663814144093
"08031123",1071,525,498,1319,38,14,1089,165,13,0.125094769,0.490196078431373,0.464985994397759,0.00322716726429023
"08031124",971,449,431,1208,36,2,948,219,3,0.181291391,0.462409886714727,0.443872296601442,0.00292584445716696
"08031125",1023,503,426,1342,26,3,1106,196,11,0.146050671,0.49169110459433,0.416422287390029,0.00308253231687106
"08031126",1125,578,436,1647,32,1,1356,242,16,0.146933819,0.513777777777778,0.387555555555556,0.0033898815801368
"08031127",1255,649,503,1614,9,2,1415,185,3,0.114622057,0.517131474103586,0.400796812749004,0.00378160122939705
"08031128",828,394,369,992,63,1,836,89,3,0.089717742,0.475845410628019,0.445652173913043,0.00249495284298069
"08031129",717,353,322,864,20,3,642,195,4,0.225694444,0.492329149232915,0.449093444909344,0.00216048452707385
"08031130",928,479,344,1246,36,2,924,277,7,0.222311396,0.516163793103448,0.370689655172414,0.00279627565010396
"08031131",974,500,385,1242,25,10,980,221,6,0.177938808,0.513347022587269,0.395277207392197,0.00293488414138066
"08031132",1102,487,527,1414,36,3,1238,134,3,0.09476662,0.441923774954628,0.478221415607985,0.00332057733449845
"08031201",1286,1002,162,1857,37,64,1618,116,22,0.062466344,0.779160186625194,0.12597200622084,0.00387501129960527
"08031202",1100,865,144,1839,30,88,1506,188,27,0.102229473,0.786363636363636,0.130909090909091,0.00331455087835598
"08031203",841,677,114,1354,15,70,1183,77,9,0.056868538,0.80499405469679,0.135552913198573,0.00253412480790671
"08031204",1262,1051,85,1978,25,83,1655,188,27,0.095045501,0.832805071315372,0.0673534072900158,0.00380269382589568
"08031205",1088,892,81,1678,26,51,1487,107,7,0.063766389,0.819852941176471,0.0744485294117647,0.00327839214150119
"08031206",1437,1162,161,2180,30,84,1833,200,33,0.091743119,0.808629088378567,0.112038970076548,0.00433000873836141
"08031207",1137,897,148,1640,13,47,1419,142,19,0.086585366,0.788918205804749,0.130167106420405,0.00342604031699159
"08031208",1177,986,88,1710,24,50,1481,146,9,0.085380117,0.837723024638912,0.0747663551401869,0.0035465694398409
"08031209",988,805,113,1322,15,45,1160,92,10,0.069591528,0.814777327935223,0.114372469635628,0.00297706933437792
"08031210",1131,903,129,1476,22,46,1306,92,10,0.062330623,0.79840848806366,0.114058355437666,0.0034079609485642
"08031211",972,796,91,1338,12,26,1219,75,6,0.056053812,0.818930041152263,0.0936213991769547,0.0029288576852382
"08031212",1107,876,150,1468,16,26,1334,84,8,0.057220708,0.791327913279133,0.13550135501355,0.00333564347485461
"08031213",837,689,84,1129,8,30,774,300,17,0.265721878,0.823178016726404,0.100358422939068,0.00252207189562178
"08031214",879,710,95,1205,13,31,998,150,13,0.124481328,0.80773606370876,0.108077360637088,0.00264862747461355
"08031215",1370,1096,183,1842,24,39,1634,134,11,0.072747014,0.8,0.133576642335766,0.00412812245758881
